grid_gid,epdo_total,is_high_risk,risk_prob,predicted_risk
다사643114,40.0,0,0.5675,1
다사628131,40.0,0,0.4844,0
다사485031,29.0,0,0.2073,0
다사661079,97.0,1,0.6623,1
다사656112,99.0,1,0.6845,1
다사626129,94.0,1,0.744,1
다사649283,25.0,0,0.6888,1
다사684349,25.0,0,0.4173,0
다사663334,24.0,0,0.6888,1
다사667321,32.0,0,0.5723,1
다사651300,86.0,1,0.2476,0
다사652290,25.0,0,0.6888,1
다사666320,32.0,0,0.4844,0
다사668334,84.0,1,0.4031,0
다사655308,147.0,1,0.5408,1
다사671346,24.0,0,0.4211,0
다사671317,32.0,0,0.5723,1
다사658333,86.0,1,0.6888,1
다사651294,32.0,0,0.2476,0
다사666341,93.0,1,0.2476,0
다사660283,93.0,1,0.6888,1
다사647283,86.0,1,0.4173,0
다사668345,77.0,1,0.3987,0
다사654338,154.0,1,0.4211,0
다사656309,30.0,0,0.3126,0
다사658290,32.0,0,0.3122,0
다사635324,86.0,1,0.391,0
다사647322,30.0,0,0.2476,0
다사651304,25.0,0,0.391,0
다사658296,71.0,1,0.6828,1
다사672317,25.0,0,0.5554,1
다사646331,32.0,0,0.6888,1
다사653267,25.0,0,0.3314,0
다사669346,93.0,1,0.4173,0
다사623321,147.0,1,0.5037,1
다사648297,84.0,1,0.6888,1
다사653283,32.0,0,0.6888,1
다사675304,93.0,1,0.5431,1
다사648299,93.0,1,0.6888,1
다사687304,30.0,0,0.4514,0
다사645336,86.0,1,0.6888,1
다사651328,152.0,1,0.6888,1
다사671349,32.0,0,0.5384,1
다사657266,93.0,1,0.6888,1
다사655328,32.0,0,0.4286,0
다사669348,30.0,0,0.5157,1
다사661326,25.0,0,0.6888,1
다사673341,86.0,1,0.4173,0
다사653297,25.0,0,0.4961,0
다사675310,17.0,0,0.4147,0
다사685350,93.0,1,0.5157,1
다사669397,78.0,1,0.5723,1
다사669388,93.0,1,0.4844,0
다사684384,32.0,0,0.4138,0
다사671379,25.0,0,0.5056,1
다사680383,30.0,0,0.3607,0
다사666363,32.0,0,0.6888,1
다사690396,32.0,0,0.358,0
다사670383,17.0,0,0.2803,0
다사683378,32.0,0,0.4288,0
다사647358,32.0,0,0.4031,0
다사690383,415.0,1,0.6317,1
다사642348,18.0,0,0.4031,0
다사702398,152.0,1,0.6888,1
다사640366,25.0,0,0.6076,1
다사687379,17.0,0,0.4031,0
다사669394,154.0,1,0.4858,0
다사670381,23.0,0,0.4898,0
다사688380,78.0,1,0.5271,1
다사682383,14.0,0,0.3126,0
다사690416,30.0,0,0.7582,1
다사693382,22.0,0,0.6051,1
다사690412,32.0,0,0.391,0
다사689416,8.0,0,0.181,0
다사673372,93.0,1,0.6888,1
다사682417,32.0,0,0.5675,1
다사677367,86.0,1,0.4844,0
다사680374,93.0,1,0.6888,1
다사715374,18.0,0,0.4844,0
다사676369,91.0,1,0.391,0
다사701383,32.0,0,0.6888,1
다사716365,32.0,0,0.6888,1
다사679367,93.0,1,0.1698,0
다사695382,93.0,1,0.6619,1
다사671356,86.0,1,0.7183,1
다사673367,84.0,1,0.7114,1
다사703378,83.0,1,0.4898,0
다사703386,93.0,1,0.4054,0
다사697383,32.0,0,0.5853,1
다사699384,93.0,1,0.6219,1
다사668365,84.0,1,0.6563,1
다사685366,18.0,0,0.6888,1
다사673370,30.0,0,0.4154,0
다사667430,154.0,1,0.3126,0
다사638452,32.0,0,0.1647,0
다사668426,32.0,0,0.472,0
다사660437,93.0,1,0.6888,1
다사655479,25.0,0,0.7152,1
다사654463,152.0,1,0.7045,1
다사671458,25.0,0,0.7699,1
다사654474,32.0,0,0.7762,1
다사654447,32.0,0,0.7696,1
다사668412,18.0,0,0.6947,1
다사662474,85.0,1,0.744,1
다사666488,154.0,1,0.7474,1
다사643453,25.0,0,0.4844,0
다사654453,25.0,0,0.4073,0
다사652452,154.0,1,0.5162,1
다사689442,93.0,1,0.2371,0
다사644457,25.0,0,0.5675,1
다사662423,85.0,1,0.5675,1
다사665452,32.0,0,0.7056,1
다사650455,93.0,1,0.5675,1
다사669416,86.0,1,0.6888,1
다사669430,93.0,1,0.7762,1
다사653459,32.0,0,0.678,1
다사644453,93.0,1,0.767,1
다사647453,32.0,0,0.6317,1
다사656476,32.0,0,0.4844,0
다사661463,147.0,1,0.3126,0
다사654441,93.0,1,0.7887,1
다사687438,93.0,1,0.7193,1
다사663439,93.0,1,0.7264,1
다사648445,32.0,0,0.6394,1
다사667488,86.0,1,0.5675,1
다사664435,23.0,0,0.7821,1
다사661473,32.0,0,0.6329,1
다사664428,154.0,1,0.5087,1
다사669455,147.0,1,0.7346,1
다사648462,32.0,0,0.4844,0
다사675418,32.0,0,0.4064,0
다사669415,32.0,0,0.4173,0
다사648465,25.0,0,0.7234,1
다사652458,91.0,1,0.7748,1
다사642453,93.0,1,0.6998,1
다사658468,93.0,1,0.7394,1
다사684434,415.0,1,0.6811,1
다사677443,154.0,1,0.8033,1
다사649450,9.0,0,0.6662,1
다사686440,93.0,1,0.6933,1
다사684439,86.0,1,0.8157,1
다사669419,85.0,1,0.4508,0
다사669414,32.0,0,0.6888,1
다사634448,147.0,1,0.4216,0
다사659464,93.0,1,0.4173,0
다사654459,32.0,0,0.4844,0
다사675431,24.0,0,0.5323,1
다사651453,154.0,1,0.6696,1
다사671447,18.0,0,0.7633,1
다사638445,93.0,1,0.4073,0
다사643465,10.0,0,0.6888,1
다사653463,23.0,0,0.3126,0
다사686444,79.0,1,0.7669,1
다사653467,93.0,1,0.8515,1
다사669449,154.0,1,0.6878,1
다사635450,84.0,1,0.8033,1
다사658466,24.0,0,0.5408,1
다사656435,140.0,1,0.7392,1
다사642448,93.0,1,0.7506,1
다사637454,86.0,1,0.5384,1
다사740490,24.0,0,0.7696,1
다사719519,85.0,1,0.5825,1
다사728534,86.0,1,0.6888,1
다사739487,17.0,0,0.2526,0
다사743490,78.0,1,0.7861,1
다사733495,86.0,1,0.5463,1
다사737512,25.0,0,0.6888,1
다사690463,93.0,1,0.6888,1
다사747490,32.0,0,0.5506,1
다사726515,93.0,1,0.2476,0
다사688424,18.0,0,0.6958,1
다사726483,86.0,1,0.6888,1
다사742501,24.0,0,0.7506,1
다사706495,93.0,1,0.6888,1
다사727517,23.0,0,0.5935,1
